t_abs_unix,t_rel_s,exg_status,exg_ch1_24bit,exg_ch2_24bit,device_timestamp
1756894318,0,128,8310,178165,10888845
1756894318,0.013858318,128,8205,178515,10888877
1756894318,0.013910055,128,7880,178180,10888909
1756894318,0.014140129,128,7695,178105,10888941
1756894318,0.024145842,128,7785,178170,10888973
1756894318,0.031540632,128,7770,178210,10889005
1756894318,0.031540632,128,8085,178175,10889037
1756894318,0.031540632,128,8125,177950,10889069
1756894318,0.03254199,128,8515,177375,10889101
1756894318,0.03254199,128,8830,177250,10889133
1756894318,0.03254199,128,8995,177020,10889165
1756894318,0.03254199,128,9075,177110,10889197
1756894318,0.03254199,128,9305,177025,10889229
1756894318,0.03254199,128,9255,177050,10889261
1756894318,0.03254199,128,9385,177055,10889293
1756894318,0.033540487,128,9385,177090,10889325
1756894318,0.033540487,128,9330,177305,10889357
1756894318,0.033540487,128,9190,177245,10889389
1756894318,0.036539555,128,8915,177110,10889421
1756894318,0.036539555,128,8615,177440,10889453
1756894318,0.102176428,128,8375,177825,10889485
1756894318,0.104175091,128,8230,178220,10889517
1756894318,0.104175091,128,7980,178485,10889549
1756894318,0.104175091,128,7870,178515,10889581
1756894318,0.104175091,128,7890,178275,10889613
1756894318,0.104175091,128,7765,178295,10889645
1756894318,0.105176687,128,7945,178080,10889677
1756894318,0.105176687,128,8305,177775,10889709
1756894318,0.105176687,128,8460,177620,10889741
1756894318,0.1061759,128,8655,177390,10889773
1756894318,0.1061759,128,9005,177130,10889805
1756894318,0.1061759,128,9080,177000,10889837
1756894318,0.1061759,128,9155,177175,10889869
1756894318,0.1061759,128,9445,177030,10889901
1756894318,0.107175827,128,9525,177300,10889933
1756894318,0.107175827,128,9455,177420,10889965
1756894318,0.107175827,128,9285,177750,10889997
1756894318,0.107175827,128,8965,177965,10890029
1756894318,0.108176708,128,9010,178300,10890061
1756894318,0.108176708,128,8950,178365,10890093
1756894318,0.108176708,128,8615,177395,10890125
1756894318,0.108176708,128,8425,177740,10890157
1756894318,0.108176708,128,8220,178385,10890189
1756894318,0.108176708,128,8005,177915,10890221
1756894318,0.108176708,128,7900,177790,10890253
1756894318,0.108176708,128,7875,178145,10890285
1756894318,0.108176708,128,7855,178085,10890317
1756894318,0.108176708,128,8200,177680,10890349
1756894318,0.10917592,128,8265,177250,10890381
1756894318,0.10917592,128,8810,177310,10890413
1756894318,0.10917592,128,8955,176915,10890445
1756894318,0.10917592,128,9300,177055,10890477
1756894318,0.10917592,128,9295,177685,10890509
1756894318,0.10917592,128,9430,177520,10890541
1756894318,0.10917592,128,9580,177405,10890573
1756894318,0.10917592,128,9605,177705,10890605
1756894318,0.10917592,128,9785,177830,10890637
1756894318,0.10917592,128,9425,177845,10890669
1756894318,0.10917592,128,9005,178430,10890701
1756894318,0.10917592,128,9030,179455,10890733
1756894318,0.110176325,128,8890,179415,10890765
1756894318,0.110176325,128,8635,176680,10890797
1756894318,0.110176325,128,8290,176695,10890829
1756894318,0.110176325,128,8155,178080,10890861
1756894318,0.110176325,128,8195,178440,10890893
1756894318,0.110176325,128,8080,178270,10890925
1756894318,0.129838705,128,7920,178400,10890957
1756894318,0.138483047,128,8290,178250,10890989
1756894318,0.138483047,128,8360,177905,10891021
1756894318,0.138483047,128,8660,177635,10891053
1756894318,0.138483047,128,8950,177600,10891085
1756894318,0.138483047,128,9105,177175,10891117
1756894318,0.138483047,128,9320,176860,10891149
1756894318,0.138483047,128,9525,176700,10891181
1756894318,0.138483047,128,9580,177050,10891213
1756894318,0.139986038,128,9610,177490,10891245
1756894318,0.139986038,128,9535,177440,10891277
1756894318,0.139986038,128,9555,177705,10891309
1756894318,0.139986038,128,9330,177865,10891341
1756894318,0.139986038,128,9360,177955,10891373
1756894318,0.139986038,128,9055,177860,10891405
1756894318,0.139986038,128,8780,178415,10891437
1756894318,0.139986038,128,8525,178605,10891469
1756894318,0.139986038,128,8385,178690,10891501
1756894318,0.139986038,128,8295,178800,10891533
1756894318,0.139986038,128,8270,179000,10891565
1756894318,0.139986038,128,8250,178955,10891597
1756894318,0.139986038,128,8260,178125,10891629
1756894318,0.140991926,128,8205,176240,10891661
1756894318,0.140991926,128,8760,177070,10891693
1756894318,0.140991926,128,9015,177560,10891725
1756894318,0.140991926,128,9185,177365,10891757
1756894318,0.140991926,128,9500,177205,10891789
1756894318,0.140991926,128,9525,177110,10891821
1756894318,0.140991926,128,9685,177115,10891853
1756894318,0.163787603,128,9720,177475,10891885
1756894318,0.177398682,128,9685,177360,10891917
1756894318,0.177398682,128,9805,177305,10891949
1756894318,0.177398682,128,9675,177710,10891981
1756894318,0.177398682,128,9490,177965,10892013
1756894318,0.177398682,128,9230,177955,10892045
1756894318,0.178399086,128,9140,178175,10892077
1756894318,0.178399086,128,8930,178350,10892109
1756894318,0.178399086,128,8775,178685,10892141
1756894318,0.179399729,128,8660,178705,10892173
1756894318,0.179399729,128,8300,178955,10892205
1756894318,0.179399729,128,8315,178735,10892237
1756894318,0.180398941,128,8260,178845,10892269
