t_abs_unix,t_rel_s,exg_status,exg_ch1_24bit,exg_ch2_24bit,device_timestamp,emg_ch1_filtered,emg_ch1_envelope,emg_cycle_peak,emg_X
1756958126.830141,0.0,128,1179650,742860,13355664,1179650.0,0.0,0,
1756958126.830141,0.0,128,878090,788690,13355696,191147.2902995196,479.2011744554444,0,
1756958126.830141,0.0,128,646715,820985,13355728,287422.58290531073,1198.560603052002,0,
1756958126.830141,0.0,128,440180,837040,13355760,315799.4592541184,1987.2566911948122,0,
1756958126.8451533,0.015012264251708984,128,369450,828410,13355792,124186.02188412822,35462.561037513115,0,
1756958126.8476562,0.017515182495117188,128,243805,820985,13355824,11394.150303788076,34038.13662762961,1,
1756958126.8486607,0.01851963996887207,128,152865,799830,13355856,-59736.708001197316,34670.91675653196,0,
1756958126.8486607,0.01851963996887207,128,182280,759395,13355888,-58622.1767579143,34730.96192852663,0,
1756958126.8486607,0.01851963996887207,128,376845,735850,13355920,-15249.79103597282,34682.123151074695,0,
1756958126.8486607,0.01851963996887207,128,649800,711100,13355952,77602.80295486655,34789.72415414502,0,
1756958126.8486607,0.01851963996887207,128,1168535,671815,13355984,261799.11583878196,35358.830663252396,0,
1756958126.8486607,0.01851963996887207,128,1194605,694285,13356016,408571.5457160567,36294.465016712325,0,
1756958126.849665,0.01952385902404785,128,1230600,713170,13356048,739230.2721762555,53598.961224176724,0,
1756958126.849665,0.01952385902404785,128,1269035,718340,13356080,770925.4331789635,55397.279616711,0,
1756958126.849665,0.01952385902404785,128,1297365,724110,13356112,799385.8204290872,57262.439106966034,0,
1756958126.849665,0.01952385902404785,128,1309635,728800,13356144,821781.8617230038,59179.06897201688,0,
1756958126.849665,0.01952385902404785,128,1316475,730735,13356176,838265.6412250117,61132.21829388849,0,
1756958126.849665,0.01952385902404785,128,1302080,735520,13356208,845529.9059994912,63098.68244098503,0,
1756958126.849665,0.01952385902404785,128,1280700,735075,13356240,844155.6235885845,65056.7714252862,0,
1756958126.8506646,0.020523548126220703,128,1249435,738105,13356272,750857.9587397887,81865.16682947488,0,
1756958126.8506646,0.020523548126220703,128,1226075,737520,13356304,736533.5863553615,83506.4031505554,0,
1756958126.8506646,0.020523548126220703,128,1025795,762130,13356336,679892.3796035809,85001.52693649674,0,
1756958126.8536634,0.023522377014160156,128,724750,809095,13356368,187706.60870765522,92199.76241903378,0,
1756958126.8536634,0.023522377014160156,128,548310,825900,13356400,136148.6087766193,92309.94100831704,0,
1756958126.8536634,0.023522377014160156,128,403325,832950,13356432,64520.34355916333,92240.27322639656,0,
1756958126.8536634,0.023522377014160156,128,320265,825175,13356464,-8884.002039827086,92031.30127085253,0,
1756958126.8546638,0.024522781372070312,128,135615,812785,13356496,-299721.9368100624,97125.17224297524,0,
1756958126.9204662,0.09032511711120605,128,209330,774165,13356528,-36888.949054658064,59587.110310905635,0,
1756958126.9204662,0.09032511711120605,128,246735,749135,13356560,-28337.998574897683,59508.76961865141,0,
1756958126.922466,0.09232497215270996,128,501515,718895,13356592,170048.0886910867,64798.79280973808,0,
1756958126.922466,0.09232497215270996,128,970755,690470,13356624,279367.04110267246,65336.70970315417,0,
1756958126.922466,0.09232497215270996,128,1230645,675315,13356656,419342.1918039023,66224.19203429538,0,
1756958126.922466,0.09232497215270996,128,1209765,706870,13356688,521417.273327377,67365.34898618226,0,
1756958126.922466,0.09232497215270996,128,1252070,716995,13356720,607788.1476977181,68720.17457350432,0,
1756958126.922466,0.09232497215270996,128,1286215,723530,13356752,680055.7049561335,70252.77649366052,0,
1756958126.922466,0.09232497215270996,128,1305140,725515,13356784,737954.1987575765,71926.6862060769,0,
1756958126.922466,0.09232497215270996,128,1312710,731765,13356816,782159.690339382,73707.2214633876,0,
1756958126.923974,0.09383296966552734,128,1312665,732280,13356848,787662.1486074051,99778.10331610135,0,
1756958126.923974,0.09383296966552734,128,1293290,733710,13356880,781570.7613883071,101487.33938202387,0,
1756958126.9249794,0.09483838081359863,128,1265385,737770,13356912,684237.8564890483,115849.78867107743,0,
1756958126.9249794,0.09483838081359863,128,1249775,739275,13356944,671514.6757805148,117242.8257687483,0,
1756958126.9249794,0.09483838081359863,128,1166745,745260,13356976,641807.6956264075,118557.8959500727,0,
1756958126.9249794,0.09483838081359863,128,857220,791050,13357008,549801.4461301669,119639.01206424215,0,
1756958126.9260645,0.09592342376708984,128,640770,822710,13357040,140430.0601561317,120190.93510465327,0,
1756958126.9260645,0.09592342376708984,128,433740,836740,13357072,65931.12152830363,120054.90719470604,0,
1756958126.9260645,0.09592342376708984,128,364580,829235,13357104,-6661.401258702317,119770.63269029111,0,
1756958126.9260645,0.09592342376708984,128,221270,820490,13357136,-93728.95389228698,119705.34689395447,0,
1756958126.9260645,0.09592342376708984,128,166585,795480,13357168,-172410.35915032448,119837.4769583324,0,
1756958126.927068,0.09692692756652832,128,180865,758715,13357200,-331476.8770114201,125043.88249748269,0,
1756958126.927129,0.09698796272277832,128,393310,733570,13357232,-296527.80191719736,125473.78812396259,0,
1756958126.927129,0.09698796272277832,128,685795,709095,13357264,-205139.5167809267,125673.50798751098,0,
1756958126.927129,0.09698796272277832,128,1186450,673270,13357296,-25232.886239434214,125421.70601935704,0,
1756958126.927129,0.09698796272277832,128,1194530,694760,13357328,115105.92032668562,125395.84461890708,0,
1756958126.927129,0.09698796272277832,128,1234760,712795,13357360,231595.97375294103,125662.08551894079,0,
1756958126.927129,0.09698796272277832,128,1273715,721405,13357392,329128.56116363365,126172.17056350755,0,
1756958126.927129,0.09698796272277832,128,1300405,726340,13357424,409129.0023431532,126881.53581737293,0,
1756958126.927129,0.09698796272277832,128,1309565,729095,13357456,471596.50338978606,127745.72707561274,0,
1756958126.927129,0.09698796272277832,128,1319800,730820,13357488,520628.44979962165,128730.6736153078,0,
1756958126.927129,0.09698796272277832,128,1302800,733295,13357520,553253.5183315307,129794.941099573,0,
1756958126.927129,0.09698796272277832,128,1281045,737195,13357552,572122.5214384629,130903.84458264249,0,
1756958126.927129,0.09698796272277832,128,1265930,737750,13357584,581794.4849403711,132034.2154295,0,
1756958126.9280727,0.0979316234588623,128,1224195,736995,13357616,532036.5090813148,141301.19923632842,0,
1756958126.9280727,0.0979316234588623,128,1006620,769405,13357648,479158.6323145767,142148.19883792312,0,
1756958126.9280727,0.0979316234588623,128,712485,814920,13357680,373108.1160926254,142727.20920959598,0,
1756958126.9280727,0.0979316234588623,128,530295,826965,13357712,250778.64158768806,142998.09127763912,0,
1756958126.9280727,0.0979316234588623,128,401850,835175,13357744,127950.0582567725,142960.3662589609,0,
1756958126.9280727,0.0979316234588623,128,309310,827250,13357776,12889.199153707566,142634.28130142915,0,
1756958126.9280727,0.0979316234588623,128,120235,811965,13357808,-116890.7562332309,142569.74296856567,0,
1756958126.9280727,0.0979316234588623,128,200970,772180,13357840,-198914.3194949272,142710.99732379778,0,
1756958126.9280727,0.0979316234588623,128,258210,746475,13357872,-249060.1718279494,142977.61187661148,0,
1756958126.9280727,0.0979316234588623,128,507185,720265,13357904,-232788.1713367824,143202.76456124737,0,
1756958126.9280727,0.0979316234588623,128,999300,685870,13357936,-112497.28886575816,143125.78675009223,0,
1756958126.9280727,0.0979316234588623,128,1222360,678085,13357968,28979.79835237135,142839.62579215318,0,
1756958126.9280727,0.0979316234588623,128,1214755,707460,13358000,136168.84154380625,142822.9023134089,0,
1756958126.9290729,0.09893178939819336,128,1257300,717055,13358032,401655.24498081906,149169.61140008952,0,
1756958126.9290729,0.09893178939819336,128,1290620,724500,13358064,428246.30627152673,149869.24925389315,0,
1756958126.9290729,0.09893178939819336,128,1309020,728145,13358096,451552.81386199157,150625.56192904318,0,
1756958126.9290729,0.09893178939819336,128,1313880,734245,13358128,469319.3151837676,151424.51869485437,0,
1756958126.955601,0.12545990943908691,128,1313720,732400,13358160,127319.61005105206,141782.05446415656,0,
1756958126.955601,0.12545990943908691,128,1293820,734420,13358192,121646.82963834584,141731.57599088427,0,
1756958126.955601,0.12545990943908691,128,1281015,736350,13358224,114159.10475783421,141662.45253861448,0,
1756958126.9571052,0.12696409225463867,128,1248685,738490,13358256,59419.10120427738,138666.56268633186,0,
1756958126.9571052,0.12696409225463867,128,1152660,745325,13358288,35551.50338863177,138408.05597435037,0,
1756958126.9572654,0.12712430953979492,128,839105,796205,13358320,-86293.59560861532,138199.048310369,0,
1756958126.9572654,0.12712430953979492,128,634790,824005,13358352,-189085.0614922027,138326.61819243158,0,
1756958126.9572654,0.12712430953979492,128,430130,838890,13358384,-312258.88058790384,138762.66174965387,0,
1756958126.9572654,0.12712430953979492,128,360425,829450,13358416,-421410.496404461,139471.25235594306,0,
1756958126.9572654,0.12712430953979492,128,198655,819660,13358448,-539508.9698323287,140474.13627724152,0,
1756958126.9572654,0.12712430953979492,128,172285,793230,13358480,-634698.016723719,141713.1424048344,0,
1756958126.9572654,0.12712430953979492,128,174690,758325,13358512,-705724.7124622774,143127.1044147299,0,
1756958126.9572654,0.12712430953979492,128,403810,731610,13358544,-708601.8920228832,144544.73467212022,0,
1756958126.9572654,0.12712430953979492,128,718395,706925,13358576,-640398.1223413931,145787.82593099444,0,
1756958126.9572654,0.12712430953979492,128,1199755,673860,13358608,-481350.9312846712,146629.07371398644,0,
1756958126.9572654,0.12712430953979492,128,1195710,698100,13358640,-358463.61333166156,147160.13727243894,0,
1756958126.9572654,0.12712430953979492,128,1238195,712660,13358672,-253623.1990704866,147427.03733767034,0,
1756958126.9582918,0.12815070152282715,128,1277550,722230,13358704,38117.33757295017,144678.18891615196,0,
1756958126.9582918,0.12815070152282715,128,1302515,725620,13358736,65331.25583739848,144479.26826464184,0,
1756958126.9582918,0.12815070152282715,128,1311255,729515,13358768,88007.22290607035,144337.69434843658,0,
1756958126.9582918,0.12815070152282715,128,1321645,732610,13358800,107486.55226295747,144245.30951504598,0,
1756958126.9582918,0.12815070152282715,128,1302515,734190,13358832,118025.42035819897,144179.57695007807,0,
1756958126.9582918,0.12815070152282715,128,1293975,736500,13358864,123957.44725308349,144128.8806086044,0,
1756958126.9582918,0.12815070152282715,128,1264675,737885,13358896,121807.27330734802,144072.92093259888,0,
1756958126.9582918,0.12815070152282715,128,1221060,740300,13358928,110324.29504093638,143988.31402481484,0,
1756958126.9582918,0.12815070152282715,128,985430,770790,13358960,49888.518637459885,143752.40833975398,0,
1756958126.9582918,0.12815070152282715,128,699135,815590,13358992,-59099.92953858209,143540.18682618442,0,
1756958126.9582918,0.12815070152282715,128,512040,830115,13359024,-183576.76558722422,143640.55746462458,0,
1756958126.9582918,0.12815070152282715,128,397900,833085,13359056,-303756.43805603776,144041.96372002136,0,
1756958126.9949152,0.16477417945861816,128,295060,826965,13359088,-149934.10068554842,146865.9958698305,0,
1756958126.9949152,0.16477417945861816,128,111960,810765,13359120,-189058.76570046213,146971.77202195217,0,
1756958126.9949152,0.16477417945861816,128,192920,769320,13359152,-201040.03733096042,147107.31972548616,0,
1756958126.9949152,0.16477417945861816,128,273780,744505,13359184,-192112.48788497158,147220.14648544072,0,
1756958126.9949152,0.16477417945861816,128,520205,718190,13359216,-131070.50141753585,147179.6597546508,0,
1756958126.9959154,0.16577434539794922,128,1029850,684015,13359248,355893.4941246982,152297.43590063445,0,
1756958126.9959154,0.16577434539794922,128,1214465,682800,13359280,432593.26117833686,153000.1300819517,0,
1756958126.9959154,0.16577434539794922,128,1218500,709205,13359312,491339.7350904038,153848.33847575518,0,
1756958126.9959154,0.16577434539794922,128,1260340,719365,13359344,544332.7829964353,154827.27259576117,0,
1756958126.9959154,0.16577434539794922,128,1292420,724240,13359376,590626.6717883113,155919.81010227153,0,
1756958126.9959154,0.16577434539794922,128,1309635,727390,13359408,628400.3196591098,157104.30617716836,0,
